,title,description,rating,genre,year,length,country
57,Два капитана,"«Бороться искать, найти и не сдаваться» — эта романтическая клятва, данная в детстве Саней Григорьевым, долгие годы вела его к осуществелению заветной мечты: стать полярным летчиком и отыскать следы пропавшей арктической экспедиции капитана Татаринова.",7.2,Приключения,1955,"98 мин.
                                                    ",СССР
58,Маленькие волшебницы,"Флейм, Флора, Марина и Скай только кажутся обычными школьницами, на самом же деле они настоящие волшебницы и у каждой есть свой дар, который они скрывают от окружающих. Пытаясь разгадать тайну Розы ветров в подвале фамильного замка, девочки выпускают на волю пыльцу фей и привлекают внимание злой волшебницы Гленды, которая хочет единолично управлять четырьмя стихиями.",7.2,Приключения,2020,"93 мин.
                                                    ",Германия
59,Поли,"После развода родителей Сесиль вместе с мамой переезжает в тихую деревушку на юге Франции. Сверстники не принимают «парижанку», и девочке остается только целыми днями бродить по округе. Однажды в деревню заезжает бродячий цирк, и Сесиль видит Поли — смышленого пони, от которого хотят избавиться из-за его непокорного нрава.",7.2,Семейные,2020,"101 мин.
                                                    ",Франция
60,Иваново счастье. Новые истории,"Сборник трогательных историй о людях, меняющих мир вокруг себя. Будь это школьный учитель в провинции, столичный врач или простой работяга — всех их объединяет неравнодушие и желание сделать мир чуточку лучше.",7.2,Драма,2021,"94 мин.
                                                    ",Россия
61,Стать Маугли,"В 2019 году Детский музыкальный театр Юного актера и Константин Хабенский готовились к перезапуску благотворительного спектакля «Поколение Маугли». Исполнители учились держаться на сцене, серьезно относиться к делу и работать в команде. Но если с творческими трудностями можно было справиться, то внешние обстоятельства приходилось принимать. Из-за пандемии коронавируса репетиции неоднократно отменялись, и будущее постановки оказалось неизвестным.",7.2,Документальные,2023,"60 мин.
                                                    ",Россия
62,Напротив левого берега,"Восемь личных историй молодых ростовчан, которые заново открывают для зрителей «нетуристический» Ростов-на-Дону. Искренние интервью, необычные городские легенды, душевные рассказы и воспоминания о детстве сливаются в единый кинопортрет города.",7.2,Документальные,2016,"87 мин.
                                                    ",Россия
63,Про рок,"Документальный проект о лидерах трёх уральских рок-групп, которые пять лет пытаются стать популярными. Режиссёры погружают зрителя в мир молодых музыкантов, полный любви, надежды, стремлений, финансовых проблем, конфликтов с родными и непонимания со стороны сверстников.",7.2,Документальные,2017,"125 мин.
                                                    ",Россия
64,Каждый 88,"Советский солдат погибает в бою. После смерти он оказывается в другом мире, где каждая душа получит новую жизнь. И только судьба решит, выпадет ли герою счастливый билет.",7.2,Мелодрама,2015,"27 мин.
                                                    ",Россия
65,Волк с Уолл-стрит,1987 год. Успешный брокер Джордан Белфорт оказывается на улице после внезапного обвала индекса Доу — Джонса. Однако его коммуникативные таланты и финансовое чутьё позволяют ему снова вернуться в мир больших денег и дорогих развлечений... надолго ли?,7.2,Драма,2013,"171 мин.
                                                    ",США
66,Ворошиловский стрелок,"Дед-ветеран понимает, что справедливое наказание может пройти мимо. Он покупает снайперскую винтовку и мстит за поруганную честь своей внучки, не дождавшись законного наказания преступников.",7.2,Драма,1999,"95 мин.
                                                    ",Россия
67,Перед судом истории,"Один из самых парадоксальных фильмов в истории нашего кино. Фильм построен на диалоге историка Сергея Свистунова с Василием Витальевичем Шульгиным, который был одним из организаторов Белой армии, лидером Государственной Думы и противником большевиков.",7.2,Документальные,1965,"92 мин.
                                                    ",СССР
68,Старшина,"После госпиталя старшина Кацуба, распрощавшийся с фронтовой службой, едет в провинциальный городок обучать курсантов военному делу. Но отношения с 17-летними ребятами не складываются: они считают своего наставника несправедливым и слишком придирчивым…",7.2,Драма,1979,"87 мин.
                                                    ",СССР
69,Жаворонок,"События развиваются в тылу фашистской Германии. Минуя засады, группе советских танкистов удается бежать из плена, уходя на танке от погони и нанося последние удары по противнику.",7.2,Драма,1964,"83 мин.
                                                    ",СССР
70,Дорога к звездам,"Трудный путь познания прошёл на своей планете человек, он всегда стремился проникнуть туда, где ещё не был, узнать то, что ещё не знал. Несмотря на смертельную опасность, отправлялся он в далёкие плавания, штурмовал полюса, поднимался за облака, опускался в морскую пучину. Преодолевая бесчисленные трудности, находил он пути к самым сокровенным тайникам природы, проник в недра живой клетки и атома. Он стремится разгадать тайны Вселенной, осознать самого себя. Но не разу ещё не отрывался человек от своей планеты. И вот наступило время, когда он сделал первый шаг за порог своего дома.",7.2,Фантастика,1957,"49 мин.
                                                    ",СССР
71,В той стране,"Глухая  русская деревня - настоящий медвежий угол. Люди здесь живут как и сто лет назад, в их тихой и на первый взгляд неприметной жизни есть все - рождение и смерть, борьба любви и ненависти, добра и зла, чести и предательства…",7.2,Драма,1997,"90 мин.
                                                    ",Россия
72,В огне брода нет,"В санитарном поезде, вывозящем раненых с фронтов гражданской войны, работает медсестрой комсомолка Таня Теткина. Совсем юная, застенчивая девушка искренне и самоотверженно предана своему делу. Она далеко не все еще понимает из происходящего вокруг, многое лишь смутно ощущает, пытаясь выразить это своими рисунками и отношением к близким людям, которых она находит и теряет в эти трудные дни.",7.2,Драма,1967,"95 мин.
                                                    ",СССР
73,Чужая родня,"Разве мог он предположить до женитьбы, как душно и тесно будет в пронафталиненном мирке ее родителей. Настоящий комсомолец с искренней заботой о родном колхозе, Федор не примирился с их затаенной ненавистью к коллективному хозяйству. Между молодыми возник конфликт...",7.2,Драма,1955,"99 мин.
                                                    ",СССР
74,Торпедоносцы,"Фильм по мотивам военных рассказов Юрия Германа. 1944-й год. Вторая мировая война. Полк морской авиации базируется на небольшом аэродроме. Для летчиков это одновременно - и фронт, и тыл. Они выполняют боевые задания и возвращаются к своим семьям. Но каждый вылет может оказаться последним.",7.2,Драма,1983,"96 мин.
                                                    ",СССР
75,Письма мертвого человека,"В результате незапланированного ядерного взрыва на американской военной базе погибла большая часть населения. Кругом выжженные мертвые пространства, опустевшие города. Но в катакомбах и подвалах люди, среди которых — и дети, пытаются как-то наладить свой быт — и им это отчасти удается. 

Главный герой фильма — ученый Ларсен пытается понять причины происшедшего и найти духовную точку опоры, чтобы обрести надежду на выживание...",7.2,Драма,1986,"88 мин.
                                                    ",СССР
76,Михайло Ломоносов,"После нескольких лет учебы в Германии Ломоносов возвращается на родину. Ученый мечтает о создании научных центров в Петербурге и в Москве, об открытии Московского университета.",7.2,Драма,1955,"104 мин.
                                                    ",СССР
77,Зайчик,"Театральный гример Зайчик - скромный, честный и добрый человек - не может смириться с рутиной и бюрократизмом, царящими в театре. Поэтому Зайчик часто попадает в смешные и нелепые ситуации. Однако его упорству можно позавидовать.",7.2,Комедии,1964,"80 мин.
                                                    ",СССР
78,Донская повесть,"В центре фильма - судьба пулеметчика Якова Шибалка. Возлюбленная красного казака, мать его ребенка оказывается шпионкой белых. Об этом она признается любимому мужу при родах. И революционный долг оказывается превыше всего...",7.2,Драма,1964,"90 мин.
                                                    ",СССР
79,Впервые замужем,"В 20 лет Тося родила дочку — одна, без мужа. В 30 — личное счастье стало недостижимой мечтой. Всю себя она посвятила любимой дочери. Знала бы она, что наступит время, когда та станет тяготиться ею и фактически выживать ее из дома. Но вот в 40 лет жизнь будто сделала круг и вернулась в исходную точку. Терять уже нечего — а значит, можно рискнуть, начать все с начала. Мама — впервые замужем, и эгоистичной дочери с этим трудно смириться…",7.2,Драма,1979,"90 мин.
                                                    ",СССР
80,В моей смерти прошу винить Клаву К.,"Сереже было четыре года. Он полюбил Клаву с первого взгляда и навсегда. Он тащил для нее из семьи карандаши, фломастеры, барометр, кормил мороженым в кафе «Мир», навещал во время болезни и не замечал других девочек. А в пятнадцать он узнал, что такое измена: Клава полюбила другого. И тогда Сергей решил свести счеты с жизнью…",7.2,Драма,1979,"76 мин.
                                                    ",СССР
81,Всё хорошо,"Гоша никогда не покидает больницу: внешний мир, со всеми его микробами и вирусами, опасен для мальчика. Но исчезновение единственного друга заставляет его забыть об угрозе и отправиться в удивительное путешествие по новогодней Москве. А помогать Гоше в этом будет непутёвый курьер Валера. Эта встреча изменит их жизни и сделает большой город чуточку добрее.",7.2,Драма,2021,"96 мин.
                                                    ",Россия
82,"Помогите, я уменьшил своих друзей!","В школе Отто Леонарда новая ученица — Мелани. Феликсу она понравилась с первого взгляда, и он даже не думал, что она связана с начавшимися кражам. Тайное стало явным, когда пропал магический шар: без него подросток не может спасти своих друзей, которые с самого начала подозревали Мелани.",7.2,Семейные,2021,"98 мин.
                                                    ",Германия
83,Лена и львенок,После развода родителей Лена вместе с отцом и псом Смитти переезжает в новый город. Найти друзей девочке так и не удается — ровесники насмехаются над ней из-за кроткого характера и семейных проблем. Лена всё же находит родственную душу. Во время прогулки по лесу она встречает белого львенка и называет его Снежком. Но дикий котенок появился здесь не случайно — его уже ищут двое предприимчивых контрабандистов.,7.2,Комедии,2020,"91 мин.
                                                    ",США
84,Школа магических зверей,"Двум ученикам необычной школы Бенни и Иде повезло: они получили в подарок волшебных животных — лиса и черепаху. Они не только умеют разговаривать, но и поддержат ребят в трудную минуту, а ещё — разделят с ними самые невероятные приключения. Появление этих компаньонов оказывается как раз кстати, друзьям предстоит раскрыть немало секретов. Но смогут ли ученики выполнить главное условие «Волшебного зоомагазина» и сохранить в тайне от взрослых своих волшебных друзей?",7.2,Приключения,2021,"94 мин.
                                                    ",Германия
85,Счастье,"У героини нет имени, она не может и не умеет распоряжаться собой. Все решения в доме принимает муж-абьюзер. Сотрудница косметической фирмы торгует красотой, ежедневно замазывая синяки и ушибы — следы агрессивной нелюбви, которая давно вошла в привычку. Так было заведено в семье родителей, такая же судьба ждет дочь, которая как раз выходит замуж. Кажется, из этого круговорота насилия нет выхода, и скоро жертва станет палачом.",7.2,Драма,2022,"132 мин.
                                                    ",Казахстан
86,Бык,"В 1997 году Антон Быков по кличке «Бык» выходит из тюрьмы. Несколько лет назад он промышлял грабежом, но теперь поумнел и вроде даже готов начать всё заново - но на дворе экономический кризис, а старые друзья намекают на продолжение бандитской карьеры. К тому же Бык привлекает внимание авторитетного преступника Моисея, который всегда готов подкинуть новых опасных заданий.",7.2,Криминал,2019,"90 мин.
                                                    ",Россия
87,Папа,"Абрам Шварц живет ради своего талантливого сына. Когда тот становится лучшим учеником Консерватории, он все бросает и приезжает в Москву посмотреть на своего мальчика в минуту славы...",7.2,Драма,2004,"94 мин.
                                                    ",Россия
88,Лев Яшин. Вратарь моей мечты,"История лучшего вратаря ХХ века, легенды московского «Динамо» и всего советского спорта Льва Яшина. Его успеху и славе предшествовали тяжелые тренировки и болезненные поражения, которые едва не стоили ему карьеры. Искренняя, зрелищная и вдохновляющая спортивная драма «Лев Яшин. Вратарь моей мечты» создавалась при участии родных и близких великого футболиста. Вместе с дебютировавшим в главной роли Александром Фокином снималась команда знаменитых российских актеров, включая Алексея Гуськова, Алексея Кравченко, Виталия Хаева, Яна Цапника, Александра Самойленко и многих других.
Выходец из простой рабочей семьи Лев Яшин однажды и навсегда влюбился в футбол. Еще на заре своей карьеры он получил бесценный урок от вратаря московского «Динамо» Алексея Хомича. Хомич объяснил будущему преемнику: двух одинаковых вратарей не бывает и быть не должно. А таких, как Яшин, тем более не найти во всем мире.
Спустя время Яшину доверяют главный пост у ворот родного клуба, а затем и всей сборной Советского Союза. Ему суждено на себе испытать драматическое непостоянство удачи и народной любви. Громкое поражение превращает вчерашнего кумира в объект слепой ненависти. Сможет ли блестящий голкипер выдержать такой удар, и откуда ему ждать поддержки? 
Не только любителям футбола предлагаем посмотреть онлайн фильм «Лев Яшин. Вратарь моей мечты».",7.2,Драма,2019,"116 мин.
                                                    ",Россия
89,Облачный атлас,"Режиссеры Том Тыквер, Энди Вачовски и Лана Вачовски объединились для экранизации романа Дэвида Митчелла ""Облачный атлас"". Разные линии повествования, переплетаясь и расходясь, связаны друг с другом и рисуют картину борьбы человечества за мир на протяжении веков...",7.2,Фантастика,2012,"164 мин.
                                                    ",США
90,Загадка волшебного острова,"Школьница Чарли Купер из семейства отважных мореплавателей пока только мечтает о собственном путешествии, слушая увлекательные истории дедушки. Но судьба посылает ей шанс. Девочка обнаруживает удивительное яйцо, которое тут же попадает не в те руки. Но только юная Чарли знает, что нужно немедленно спешить на таинственный остров, иначе все пропало!",7.2,Приключения,2022,"81 мин.
                                                    ",Нидерланды
91,Фонтан,"Фильм снят в жанре анекдота, «злоба дня» которого до сих пор не устарела. Действие происходит в обычном питерском доме, давно нуждающемся в ремонте. На примере неполадок этого дома и столь же искреннего, сколь и тщетного желания жильцов их устранить авторы создают трагикомическую иллюстрацию до боли знакомой всем нам «разрухи в головах».",7.2,Комедии,1988,"104 мин.
                                                    ",СССР
92,Праздник Нептуна,"Директор Дома культуры запланировал на 1 января праздник Нептуна с участием 150 «моржей». Эта цифра настолько поразила областное начальство, что в село на праздник была направлена шведская делегация, которой надо было теперь показывать праздник во всей красе.",7.2,Комедии,1987,"54 мин.
                                                    ",СССР
93,Женитьба Бальзаминова,"Глупенькая, но практичная мамаша тихого дурачка и мечтателя Миши Бальзаминова, зная, что сыну ее одному за счет собственных способностей не прожить, делает все, чтобы выгодно его женить. Несколько раз сватовство Бальзаминова заканчивается не просто неудачей, а громким скандалом с оскорблениями. 

Однако через какое-то время Мише все-таки улыбается счастье. Некто Белотелова - одна из богатейших вдов, купчиха и уважаемая в городе женщина, умирая от скуки, просит сваху устроить ее личное счастье. Тут-то и подворачивается Бальзаминов.",7.2,Комедии,1989,"66 мин.
                                                    ",СССР
94,Снежная королева.,"Фильм-сказка повествует о необыкновенном путешествии скромной маленькой девочки Герды. Она разыскивает своего друга Кея, которого похитила и унесла в свое царство Снежная королева — могущественная злая волшебница.

В поисках любимого друга Герда попадает в замок к хитрому, коварному и в то же время смешному королю, знакомится с лесными разбойниками. На пути у девочки будет много преград до решающей битвы со Снежной королевой. Но верное сердце Герды одолеет все невзгоды...",7.2,Драма,1966,"85 мин.
                                                    ",СССР
95,Князь Игорь (фильм-опера),"Музыкальная драма по одноименной опере Александра Бородина, написанной по мотивам русского эпоса «Слово о полку Игореве».",7.2,Приключения,1969,"105 мин.
                                                    ",СССР
96,Единожды солгав,"Было время, когда он сам себя считал бунтарем и ниспровергателем советского образа жизни. Тогда он искал, горел, страдал. Теперь он имеет все: машину, семью, квартиру, дачу, любовницу, хорошо оплачиваемые заказы. В общем, все, что должен иметь каждый в цивилизованном обществе. Фильм о нескольких днях из жизни сорокалетнего художника, уверенного в том, что в этой жизни ему дозволено все...",7.2,Драма,1987,"96 мин.
                                                    ",СССР
97,Пиковая дама,"«Тройка, семерка, туз - не выходили из его головы и шевелились на его губах. …Тройка, семерка, туз - преследовали его во сне, принимая все возможные виды… Все мысли его слились в одну, - воспользоваться тайной, которая дорого ему стоила.»",7.2,Драма,1960,"100 мин.
                                                    ",СССР
98,Человек-амфибия,"Однажды талантливый учёный Сальватор спас жизнь маленькому мальчику, пересадив ему жабры акулы. С этого дня Ихтиандр, так назвал приёмного сына учёный, мог плавать под водой как рыба, нырять на любую глубину, но ему было тяжело подолгу находиться на суше.

Годы спустя по тихому морскому городу поползли слухи о странном существе, наводящем ужас на рыбаков, о так называемом Морском Дьяволе. В это время в городе появляется молодой человек, который мало общается с людьми и прекрасно плавает. Он знакомится с дочерью бедняка, красавицей Гутиэре, и без памяти в неё влюбляется.",7.2,Драма,1961,"97 мин.
                                                    ",СССР
99,Укротительница тигров,"Своей беззаветной влюбленностью в цирковое искусство Леночка Воронцова смогла «заразить» спортсмена-мотогонщика Федора Ермолаева. Они создают новаторский номер «мотогонки под куполом цирка». Федор Ермолаев полюбил Леночку. Она, готова ответить ему взаимностью, но в последний момент отказывается от интересных гастролей, потому что руководство предложило ей стать дрессировщицей любимых тигров.",7.2,Мелодрама,1954,"101 мин.
                                                    ",СССР
100,Три толстяка,"Фильм-сказка о ловком канатоходце Тибуле, борющемся вместе с оружейником Просперо и всем трудовым народом против тиранов, трех Толстяков, которые управляют государством, пока маленький наследник Тутти не достиг совершеннолетия. Борцам за свободу помогают добрый доктор Гаспар и смелая девочка-акробат Суок, которой приходится изображать куклу, чтобы пробраться во дворец и освободить Просперо.",7.2,Приключения,1966,"92 мин.
                                                    ",СССР
101,Седьмой спутник,"Бывший профессор военно-юридической академии генерал царской армии Адамов, арестованный осенью 1918 года, давно осознал невозможность восстановления самодержавия. Его освобождают как человека, не замешанного в прежние времена в насилии и несправедливости.",7.2,Драма,1967,"83 мин.
                                                    ",СССР
102,Мой друг Иван Лапшин,"История небольшого отрезка жизни начальника уголовного розыска города Унчанска, Ивана Лапшина, а также его друзей, товарищей и знакомых. Иван Лапшин ловит банду матёрого бандита, живёт в коммуналке и ищет взаимности у актрисы местного театра.",7.2,Драма,1984,"101 мин.
                                                    ",СССР
103,Медовый месяц,"Выпускница медицинского института Людочка Одинцова «выскакивает» замуж за инженера Алексея Рыбальченко для того, чтобы после распределения остаться в Ленинграде. Но неожиданно, Алексей дает согласие на работу в Сибири, и бедной Людочке пришлось последовать за мужем на сибирскую стройку и начать свою трудовую деятельность врачом в крохотном медпункте рабочего поселка…",7.2,Мелодрама,1956,"93 мин.
                                                    ",СССР
104,Лялька-Руслан и его друг Санька,"Летом Руслан приехал с мамой на дачу, но ему всё время не везёт. В первый раз ему не повезло с именем. Из-за несогласия родителей, ему досталось имя Руслан, а называют его все - Лялька. Ну скажите на милость - разве станет хоть один уважающий себя мальчишка радоваться такому имени? Да и теперь он остался один, без друзей, соседи - один совсем малыш, а другой - настоящий жлоб. А с ребятами из поселка подружиться не удалось - опять помешало имя. Мальчишки только посмеялись и не захотели с ним водиться.

Оказалось, что в летнем лагере, расположенном поблизости проходит военная игра и новый знакомый, Санька, просто по ошибке поймал Руслана. Зато он сразу же придумал ему новое имя, привёл с собой в лагерь и помог обрести уверенность в себе. Таких друзей просто нельзя разлучать, поэтому... Санька уговорил родителей оставить его в лагере на вторую смену.",7.2,Драма,1980,"69 мин.
                                                    ",СССР
105,Каин XVIII,"Бродячий музыкант влюбляется в принцессу, которую хотят отдать за старика-короля из соседнего королевства, самодура и подлеца. Но любовь преодолевает преграды и соединяет сердца влюбленных.",7.2,Мелодрама,1963,"87 мин.
                                                    ",СССР
106,"Замри, умри, воскресни!","Автобиографическая повесть, события которой происходят в 1947 году в небольшом шахтерском городке Сучан, более похожем на трудовой лагерь, нацеленный только на одно - дать стране как можно больше «черного золота».

Подростки Валерка и Галия живут в одном бараке. Они не столько мечтают о будущей счастливой жизни, сколько просто любят все, к чему привык глаз в этом Богом забытом городишке…",7.2,Драма,1989,"100 мин.
                                                    ",СССР
107,Дикая собака динго,"Рассказ о мире юности, где водится Дикая собака Динго и цветет волшебный Цветок Саранка. В город, в котором живет с мамой Таня Сабанеева, приезжает ее отец с новой женой и приемным сыном Колей. Встретившись, молодые люди переживают свою первую, светлую и чистую, но и горькую любовь.",7.2,Драма,1962,"97 мин.
                                                    ",СССР
108,Зверокрекеры,"Обыкновенная семья, папа Оуэн, мама Зои и их дочка Маккензи, получают в наследство настоящий бродячий цирк и... коробку фигурных крекеров. Оказывается, что печенья могут превратить тебя в то животное, которое на нём изображено. Зрителей ждёт невероятное шоу зверей!",7.2,Мультфильм,2020,"104 мин.
                                                    ",Китай
109,Упс... Приплыли!,"147 дней прошло с тех пор, как звери спаслись на Ноевом ковчеге. Но радость от выживания быстро сменилась горечью: припасы ограничены, а целому кораблю надо что-то есть. К счастью, на поиски суши уже отправился один очень отважный голубь.",7.2,Мультфильм,2020,"87 мин.
                                                    ",Ирландия
110,Прыгучая братва,"Школьница Элла переезжает с отцом с побережья в тихий городок, где она никого не знает. Девочка хочет завести новых друзей, а встречает… кенгуру. Хвостатая малышка, которую она называет Джоуи, может говорить. А все из-за бесценного волшебного алмаза, которые незадачливые грабители музея обронили в ее родном зоопарке. Пока преступники охотятся за алмазом, полиция идет по следу преступников, Элла и ее новый друг Люк пытаются воссоединить семейство кенгуру.",7.2,Семейные,2021,"89 мин.
                                                    ",Франция
111,Робот Ари,"Пять лет назад робот АРИ-9 перешел в спящий режим, ученым из лаборатории времени не удается его разбудить. После неудачного эксперимента умная машина попадает в мусорный контейнер, где ее находит школьник Ноа. Подросток активирует робота и становится его верным другом. За АРИ охотятся наемники военизированной корпорации. Ноа вместе с одноклассницей Бетани предстоит его защитить.",7.2,Развлекательные,2020,"90 мин.
                                                    ",Франция
112,Хороший человек. Фильм о фильме,"История, которую создала сама жизнь. Актёры и создатели киносериала «Хороший человек» задаются вопросом, кто или что заставляет нас совершать насилие. Всё, что осталось за кадром проекта: видео со съёмок, поездка в Ангарск и встреча с самым страшным маньяком России.",7.2,Документальные,2020,"30 мин.
                                                    ",Россия
113,Шахматист,"Жерар Депардье в биографическом фильме о Фахиме Мохаммаде, юном шахматисте из Бангладеш. Вместе с отцом Фахим ищет политическое убежище в Париже, где знакомится с известным и весьма сварливым гроссмейстером. Взаимная неприязнь этих двоих перерастает в настоящую дружбу, которая изменит жизнь обоих.",7.2,Драма,2020,"108 мин.
                                                    ",Франция
114,День радио,"Сюжет фильма рассказывает о самом сумасшедшем, смешном, необычном и суматошном рабочем дне сотрудников радиостанции «Как бы радио». Чтобы поднять рейтинги, радийщикам приходится раздуть из небольшого происшествия скандал мирового масштаба. Чего только не сделаешь ради любимых слушателей!",7.2,Комедии,2008,"104 мин.
                                                    ",Россия
115,Опасная игра Слоун,"История о блестящем и беспощадном лоббисте, которая прославилась беспрецедентным талантом и желанием победить любой ценой, даже тогда, когда это ставит ее карьеру под угрозу.",7.2,Драма,2016,"127 мин.
                                                    ",США
